snippet_key,category_id,tag_ids,notes
64,CAT_007,TERM_004|TERM_071|TERM_068|TERM_027,"Primary subject is the architecture of the Konark Sun Temple as a solar chariot monument"
65,CAT_006,TERM_020|TERM_047|TERM_027|TERM_062,"Primary subject is the Kullu Dussehrah festival where regional deities congregate"
15,CAT_010,TERM_071|TERM_004|TERM_027|TERM_056,"Primary subject is the Birla Venkateshwara temple as a pilgrimage place in Hyderabad"
16,CAT_010,TERM_035|TERM_071|TERM_068|TERM_056,"Primary subject is Karkala as a Jain pilgrimage city with its Chaturmukha Basti"
17,CAT_010,TERM_071|TERM_027|TERM_056|TERM_048,"Primary subject is the Jakhoo Hanuman temple as a hilltop pilgrimage site in Shimla"
18,CAT_010,TERM_071|TERM_038|TERM_027|TERM_056,"Primary subject is the Bhimkali Shakti temple site at Sarahan as a sacred place"
19,CAT_010,TERM_071|TERM_004|TERM_027|TERM_056,"Primary subject is the Hateshwari Shakti temple at Hatkoti as a sacred place"
20,CAT_007,TERM_004|TERM_071|TERM_056|TERM_037,"Primary subject is the architecture of the Adalaj step well near Ahmedabad"
21,CAT_007,TERM_013|TERM_049|TERM_068|TERM_071,"Primary subject is the Ajanta cave complex famous for its murals and sculptures"
22,CAT_010,TERM_071|TERM_004|TERM_018|TERM_056,"Primary subject is the Ambernath Shiva temple as a place near Mumbai"
23,CAT_010,TERM_071|TERM_063|TERM_027|TERM_034,"Primary subject is the Badrachalam Rama temple as a sacred place on the Godavari"
24,CAT_010,TERM_074|TERM_038|TERM_071|TERM_056,"Primary subject is Badrinath as one of the Char Dham pilgrimage sites"
45,CAT_010,TERM_063|TERM_074|TERM_048|TERM_056,"Primary subject is Gaumukh as the sacred source of the Bhagirathi/Ganga"
46,CAT_007,TERM_004|TERM_071|TERM_018|TERM_037,"Primary subject is the architecture of the Gangaikonda Cholapuram Chola temple"
47,CAT_010,TERM_069|TERM_071|TERM_056|TERM_074,"Primary subject is the Golden Temple at Amritsar as a Sikh pilgrimage site"
48,CAT_010,TERM_035|TERM_068|TERM_071|TERM_056,"Primary subject is the Jain rock sculptures at Gwalior Fort as a sacred Jain site"
49,CAT_010,TERM_071|TERM_034|TERM_063|TERM_056,"Primary subject is Guptkashi as a sacred place tied to the Pandava-Shiva legend"
50,CAT_010,TERM_071|TERM_027|TERM_062|TERM_056,"Primary subject is the Guruvayoor Krishna temple as a major pilgrimage place"
51,CAT_007,TERM_068|TERM_004|TERM_018|TERM_071,"Primary subject is the Hoysaleshwara temple sculpture and Hoysala architecture at Halebidu"
52,CAT_010,TERM_063|TERM_074|TERM_062|TERM_056,"Primary subject is Haridwar and the Ganga Aarti as a holy pilgrimage destination"
53,CAT_007,TERM_004|TERM_068|TERM_071|TERM_054,"Primary subject is the rare circular Chausat Yogini temple architecture at Hirapur"
54,CAT_010,TERM_071|TERM_027|TERM_068|TERM_056,"Primary subject is the Rajagopala Swamy temple at Mannargudi as a Krishna pilgrimage place"
25,CAT_010,TERM_071|TERM_004|TERM_027|TERM_048,"Primary subject is the Baijnath Shiva hill temple as a place in Himachal"
26,CAT_007,TERM_004|TERM_071|TERM_018|TERM_003,"Primary subject is the Bateshwar temple cluster and its ASI architectural restoration"
27,CAT_007,TERM_068|TERM_004|TERM_018|TERM_071,"Primary subject is the Chennakeshava temple soapstone sculpture and Hoysala architecture at Belur"
28,CAT_010,TERM_071|TERM_034|TERM_056|TERM_064,"Primary subject is the Banganga tank and Walkeshwar temple as a Ramayana-linked sacred place"
29,CAT_007,TERM_068|TERM_004|TERM_018|TERM_071,"Primary subject is the Chennakeshava temple soapstone sculpture and Hoysala architecture at Belur"
30,CAT_010,TERM_071|TERM_048|TERM_027|TERM_056,"Primary subject is the Chaurasi temple complex at Bharmour as a remote sacred place"
31,CAT_007,TERM_004|TERM_071|TERM_018|TERM_037,"Primary subject is the Brihadeeswara Big Temple as the architectural achievement of the Cholas"
32,CAT_010,TERM_071|TERM_063|TERM_027|TERM_056,"Primary subject is the Bijli Mahadev temple as a unique hilltop place near Kullu"
33,CAT_007,TERM_068|TERM_031|TERM_071|TERM_037,"Primary subject is the monolithic Nandi sculpture at Chamundeswari"
34,CAT_010,TERM_071|TERM_027|TERM_015|TERM_056,"Primary subject is the Chidambaram Nataraja temple as one of the Pancha Bhuta sthala places"
35,CAT_010,TERM_071|TERM_027|TERM_020|TERM_056,"Primary subject is the Curfew Wali Mata temple as a place with its origin story"
36,CAT_007,TERM_068|TERM_004|TERM_071|TERM_018,"Primary subject is the Airavateshvara temple at Darasuram famous for fine Chola sculpture"
37,CAT_010,TERM_063|TERM_074|TERM_056|TERM_034,"Primary subject is Devprayag as the river confluence where Ganga forms"
38,CAT_010,TERM_063|TERM_074|TERM_056|TERM_034,"Primary subject is Karnaprayag as a sacred river confluence linked to Karna"
39,CAT_010,TERM_063|TERM_074|TERM_056|TERM_051,"Primary subject is Vishnuprayag as a sacred river confluence linked to Narada"
40,CAT_010,TERM_063|TERM_074|TERM_056|TERM_026,"Primary subject is Nandaprayag as a sacred river confluence on the way to Badrinath"
41,CAT_010,TERM_012|TERM_004|TERM_063|TERM_056,"Primary subject is the Dhankar Buddhist monastery as a place overlooking a river confluence in Spiti"
42,CAT_010,TERM_071|TERM_030|TERM_056|TERM_037,"Primary subject is the historic Walkeshwar temple site and its construction history"
43,CAT_010,TERM_074|TERM_063|TERM_038|TERM_056,"Primary subject is the Chota Char Dham of the Himalayas as a pilgrimage route"
44,CAT_006,TERM_020|TERM_027|TERM_062|TERM_047,"Primary subject is the Ganpati festival as a major public Indian festival"
469,CAT_001,TERM_027|TERM_031|TERM_015|TERM_071,"Primary subject is the theology of Shiva as Nataraja, the dancing form and its symbolism"
470,CAT_008,TERM_051|TERM_027|TERM_031|TERM_071,"Primary subject is the legend of Markandeya and Shiva as Kalasamharamurti"
471,CAT_001,TERM_027|TERM_031|TERM_051|TERM_009,"Primary subject is the theology and iconography of Bhairava as a form of Shiva"
472,CAT_001,TERM_027|TERM_051|TERM_074|TERM_038,"Primary subject is the Veerabhadra/Daksha legend that gave rise to the Shakti Peeth tirthas"
473,CAT_001,TERM_027|TERM_031|TERM_064|TERM_068,"Primary subject is the theology and iconography of Shiva as Gajasamharamurti"
474,CAT_001,TERM_027|TERM_051|TERM_063|TERM_064,"Primary subject is the Gangadhara form of Shiva and the legend of Bhagiratha"
475,CAT_001,TERM_027|TERM_031|TERM_064|TERM_051,"Primary subject is the theology and iconography of Shiva as Ardhanariswara"
476,CAT_001,TERM_027|TERM_031|TERM_051|TERM_068,"Primary subject is the Somaskanda form of Shiva with Parvati and Skanda"
477,CAT_001,TERM_027|TERM_031|TERM_036|TERM_064,"Primary subject is the theology of Shiva as Dakshinamurti, the teacher and symbol of knowledge"
478,CAT_001,TERM_027|TERM_031|TERM_051|TERM_008,"Primary subject is the Chandrasekhara form of Shiva and the legend of Chandra's curse"
234,CAT_010,TERM_071|TERM_034|TERM_027|TERM_056,"Primary subject is the Hanuman Garhi temple of Ayodhya as a sacred Ramayana place"
235,CAT_010,TERM_056|TERM_030|TERM_034|TERM_037,"Primary subject is Prayagraj as a Ramayana site marked by the Ashokan pillar edict"
236,CAT_010,TERM_056|TERM_034|TERM_026|TERM_067,"Primary subject is the Lonar lake/crater as a geological feature linked to Rama's journey"
237,CAT_010,TERM_071|TERM_061|TERM_030|TERM_056,"Primary subject is the Kala Ram temple at Nashik, site of Ambedkar's temple entry movement"
238,CAT_010,TERM_071|TERM_034|TERM_056|TERM_063,"Primary subject is the Banganga tank in Mumbai as a Ramayana-linked sacred place"
239,CAT_010,TERM_013|TERM_034|TERM_056|TERM_051,"Primary subject is the Kardiguda cave near Hubli linked to the Ayomukhi episode of Ramayana"
240,CAT_010,TERM_034|TERM_056|TERM_051|TERM_063,"Primary subject is Pampa Sarovar as a holy lake linked to the Ramayana"
241,CAT_007,TERM_068|TERM_071|TERM_034|TERM_051,"Primary subject is the unusual Sugreeva sculpture in the Kodanda Rama temple at Hampi"
242,CAT_010,TERM_071|TERM_034|TERM_062|TERM_056,"Primary subject is the Adi Jagannatha temple at Tiruppullani as a Ramayana-linked place"
243,CAT_010,TERM_071|TERM_034|TERM_056|TERM_051,"Primary subject is Rambodha in Sri Lanka as a place linked to Hanuman's landing"
244,CAT_010,TERM_056|TERM_034|TERM_051|TERM_020,"Primary subject is Bisrakh as the place considered Ravana's birthplace"
245,CAT_010,TERM_056|TERM_034|TERM_009|TERM_051,"Primary subject is Dunuwila in Sri Lanka as the place linked to Ravana's death"
246,CAT_010,TERM_071|TERM_034|TERM_056|TERM_051,"Primary subject is the Muneeswaran temple in Colombo as a Ramayana-linked sacred place"
247,CAT_010,TERM_071|TERM_034|TERM_056|TERM_051,"Primary subject is Nandigram near Ayodhya as the place Bharat ruled during Rama's exile"
248,CAT_010,TERM_063|TERM_034|TERM_056|TERM_051,"Primary subject is Guptar Ghat on the Sarayu as the place Rama left the world"
445,CAT_010,TERM_071|TERM_034|TERM_030|TERM_056,"Primary subject is Somnath as the first Jyotirlinga and its sacred history"
446,CAT_010,TERM_071|TERM_034|TERM_038|TERM_056,"Primary subject is Kashi as the sacred abode of Shiva and the Vishwanath Jyotirlinga"
447,CAT_010,TERM_071|TERM_034|TERM_048|TERM_056,"Primary subject is Gauri Kund and the Kedarnath Jyotirlinga as sacred places"
448,CAT_010,TERM_071|TERM_034|TERM_056|TERM_030,"Primary subject is the Mahakaleshwar Jyotirlinga at Ujjain as the centre of the universe"
449,CAT_010,TERM_063|TERM_071|TERM_034|TERM_064,"Primary subject is the Godavari's origin near the Trymbakeshwar Jyotirlinga"
450,CAT_010,TERM_071|TERM_034|TERM_051|TERM_056,"Primary subject is the Bhimashankar Jyotirlinga and its rakshasa legend"
451,CAT_010,TERM_071|TERM_034|TERM_051|TERM_056,"Primary subject is the Vaidyanath Jyotirlinga and the legend of Ravana"
452,CAT_010,TERM_071|TERM_034|TERM_051|TERM_056,"Primary subject is the two Lingas at Rameshwaram and their Ramayana legend"
453,CAT_010,TERM_071|TERM_038|TERM_034|TERM_056,"Primary subject is Srisailam as both Jyotirlinga and Shakti Peeth and its location"
454,CAT_010,TERM_063|TERM_071|TERM_034|TERM_051,"Primary subject is the Omkareshwar Jyotirlinga island on the Narmada"
455,CAT_010,TERM_071|TERM_034|TERM_010|TERM_056,"Primary subject is the Ghushmeshwara Jyotirlinga near Ellora and the devotion of Ghushma"
456,CAT_010,TERM_071|TERM_034|TERM_044|TERM_056,"Primary subject is the Nageshwarnath Jyotirlinga near Dwarka and the Char Dham circuit"
457,CAT_009,TERM_019|TERM_030|TERM_033|TERM_056,"Primary subject is Taxila as India's oldest university and its history of learning"
458,CAT_009,TERM_019|TERM_012|TERM_033|TERM_041,"Primary subject is Nalanda university, its admission tests and history of learning"
459,CAT_009,TERM_019|TERM_018|TERM_033|TERM_030,"Primary subject is the Pala dynasty's patronage of the network of universities"
460,CAT_010,TERM_019|TERM_056|TERM_012|TERM_069,"Primary subject is Kashi as an ancient cross-religion centre of learning"
461,CAT_002,TERM_078|TERM_055|TERM_073|TERM_019,"Primary subject is the Brihadaranyaka Upanishad debates of women seers Gargi and Maitreyi"
462,CAT_013,TERM_019|TERM_066|TERM_062|TERM_006,"Primary subject is the samavartana graduation ceremony and snataka dharma in ancient education"
463,CAT_013,TERM_019|TERM_033|TERM_006|TERM_039,"Primary subject is the Kulpati title from gurukul tradition and its modern use"
464,CAT_009,TERM_019|TERM_061|TERM_030|TERM_011,"Primary subject is Gandhi's critique of British impact on Indian education and Dharampal's book"
465,CAT_009,TERM_019|TERM_035|TERM_058|TERM_056,"Primary subject is Vallabhi university specializing in finance and administration"
466,CAT_009,TERM_019|TERM_055|TERM_056|TERM_034,"Primary subject is Mithila university famous for Nyaya logic and Ramayana connection"
467,CAT_013,TERM_019|TERM_033|TERM_040|TERM_058,"Primary subject is the South Indian Agrahara as a self-governing settlement providing free education"
468,CAT_009,TERM_019|TERM_037|TERM_033|TERM_030,"Primary subject is Mysore Maharaja's patronage of education and the founding of IISc"
435,CAT_005,TERM_067|TERM_003|TERM_030|TERM_056,"Primary subject is ancient sanitation engineering and household toilets at Lothal"
436,CAT_005,TERM_067|TERM_045|TERM_003|TERM_075,"Primary subject is the standardized Harappan system of weight measures"
437,CAT_005,TERM_067|TERM_075|TERM_003|TERM_030,"Primary subject is the Tankai stitched-plank shipbuilding technique of ancient India"
438,CAT_005,TERM_067|TERM_003|TERM_030|TERM_004,"Primary subject is the metallurgy of the rust-free Delhi Iron Pillar"
439,CAT_005,TERM_067|TERM_077|TERM_075|TERM_030,"Primary subject is wootz steel production perfected in Tamil Nadu"
440,CAT_005,TERM_067|TERM_075|TERM_030|TERM_003,"Primary subject is ancient Indian zinc smelting and brass-making technology at Zawar"
441,CAT_005,TERM_005|TERM_075|TERM_030|TERM_067,"Primary subject is calico textile, its origin in Calicut and the European import bans"
442,CAT_005,TERM_067|TERM_004|TERM_071|TERM_037,"Primary subject is the foundation engineering of the Thanjavur Big Temple"
443,CAT_005,TERM_046|TERM_067|TERM_030|TERM_073,"Primary subject is the ancient Indian plastic surgery technique documented in 1794 and Sushruta"
